year,merit,settled,dismissed,kickout,withdrawn
2009,57,393,1221,0,272
2010,45,450,1182,0,278
2011,48,557,1110,23,278
2012,48,593,1662,48,518
2013,74,860,1596,73,669
2014,64,746,1652,99,710
